CountryName,Region SUM,Metropolitan SUM,Core city SUM,NUTS1 SUM,NUTS2 SUM,NUTS3 SUM,Province SUM,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Belgium,R044,NA,NA,NA,NA,NA,NA,1026.755,1019.39,1011.476,1005.071,998.784,991.997,987.844,983.762,981.084,978.02,974.919,971.356,970.372,964.385,954.838,951.072,950.95,951.081,951.58,949.951,949.616,949.951,952.626,959.318,975.377,989.479,1003.28,1011.222,1018.147,1030.331,1042.876,1060.336,1080.589,1101.817,1136.778,1157.797,1174.127,1184.527,1197.131,1211.156,1223.184,1233.603,1243.51,1252.999,1261.85,1270.084,1277.821,1285.041,1291.744,1297.996,1303.834,1309.288,1314.386,1319.167
Belgium,R045,NA,NA,NA,NA,NA,NA,5581.637,5598.825,5610.025,5626.029,5638.548,5640.396,5648.198,5650.48,5657.956,5663.377,5671.781,5683.744,5720.233,5739.736,5773.72,5798.84,5827.702,5847.32,5866.106,5876.56,5896.488,5912.958,5927.185,5940.251,5944.372,5964.525,5987.199,6007.612,6034.696,6070.044,6108.791,6152.823,6199.95,6242.905,6325.74,6375.178,6407.959,6444.535,6481.956,6516.571,6549.035,6580.35,6610.318,6639.347,6668.37,6696.559,6723.645,6749.552,6774.332,6798.013,6820.585,6842.121,6862.67,6882.305
Belgium,R046,NA,NA,NA,NA,NA,NA,3214.91,3219.197,3220.153,3224.009,3226.042,3222.196,3221.975,3218.781,3218.681,3217.497,3218.051,3220.616,3237.006,3243.661,3258.417,3272.085,3289.667,3302.23,3312.888,3316.536,3324.122,3329.355,3333.941,3339.516,3343.664,3355.721,3365.365,3377.587,3393.009,3411.006,3432.866,3453.707,3472.54,3495.183,3538.12,3561.876,3579.556,3597.131,3612.759,3629.097,3644.666,3659.433,3673.73,3688.008,3702.469,3716.609,3730.334,3743.588,3756.343,3768.604,3780.361,3791.638,3802.448,3812.823
Belgium,NA,BE02,NA,NA,NA,NA,NA,2271.481,2267.875,2262.461,2259.718,2256.421,2250.365,2248.402,2245.434,2245.202,2244.303,2244.211,2244.765,2253.677,2254.011,2254.256,2258.755,2267.943,2275.267,2282.496,2285.483,2291.831,2297.853,2305.375,2316.2,2333.162,2353.953,2373.27,2387.667,2402.958,2423.977,2447.23,2474.605,2504.461,2537.293,2592.059,2626.027,2652.318,2673.502,2696.797,2720.792,2742.231,2761.531,2779.728,2797.168,2813.84,2829.561,2844.408,2858.372,2871.471,2883.785,2895.361,2906.253,2916.508,2926.188
Belgium,NA,BE01,NA,NA,NA,NA,NA,1195.762,1199.1,1201.103,1204.073,1206.227,1206.019,1206.996,1206.685,1207.36,1207.462,1208.062,1209.187,1215.309,1217.613,1222.819,1226.149,1230.236,1232.299,1234.08,1233.747,1235.076,1235.755,1236.444,1237.773,1239.429,1244.257,1250.783,1256.223,1261.77,1270.361,1278.795,1290.107,1300.831,1311.066,1332.93,1347.966,1357.445,1365.89,1374.245,1383.535,1391.635,1399.123,1406.274,1413.295,1420.12,1426.671,1432.94,1438.91,1444.571,1449.951,1455.057,1459.907,1464.514,1468.898
Belgium,NA,BE03,NA,NA,NA,NA,NA,556.899,558.374,559.216,560.495,561.377,561.142,561.439,561.112,561.215,561.024,561.037,561.232,563.695,564.369,566.354,567.392,568.815,569.451,570.219,570.449,571.812,572.975,573.979,574.852,574.944,576.876,579.045,580.826,583.801,588.108,591.793,596.296,602.021,607.951,617.16,620.729,622.984,627.364,631.813,635.047,638.326,641.694,644.81,647.726,650.682,653.559,656.296,658.9,661.393,663.771,666.029,668.179,670.228,672.183
Belgium,NA,BE06,NA,NA,NA,NA,NA,257.5,258.244,258.704,259.377,259.879,259.878,260.139,260.129,260.341,260.439,260.657,260.999,262.434,263.071,264.347,265.181,266.198,266.855,267.59,268.034,268.93,269.674,270.308,270.866,270.778,271.35,271.639,272.318,272.942,273.76,274.095,274.917,275.287,275.621,277.889,279.26,280.335,280.576,281.498,282.249,282.974,283.643,284.436,285.224,286.061,286.907,287.762,288.599,289.42,290.224,291.007,291.767,292.505,293.221
Belgium,NA,BE04,NA,NA,NA,NA,NA,631.749,632.323,632.203,632.606,632.596,631.374,630.795,629.551,628.818,627.771,626.956,626.356,628.274,628.14,629.444,630.547,632.369,633.152,633.46,632.288,631.757,630.721,629.56,628.638,627.498,628.184,628.322,628.517,630.021,631.194,632.993,634.816,636.496,638.25,644.632,647.617,649.332,650.182,651.477,652.859,654.175,655.476,656.991,658.585,660.313,662.092,663.902,665.698,667.473,669.222,670.935,672.609,674.24,675.83
Belgium,NA,BE05,NA,NA,NA,NA,NA,748.563,749.301,749.225,749.779,749.856,748.509,747.939,746.598,745.883,744.819,744.056,743.581,746.132,746.296,748.198,749.82,752.326,753.69,754.651,754.052,754.379,754.206,753.923,753.896,753.583,756.19,757.185,760.079,763.036,767.036,772.257,776.957,781.682,787.257,798.246,803.74,808.044,812.416,815.275,819.002,822.532,825.82,828.927,832.128,835.359,838.51,841.569,844.535,847.389,850.133,852.765,855.293,857.717,860.044
Belgium,NA,BE07,NA,NA,NA,NA,NA,186.807,187.119,187.247,187.555,187.769,187.655,187.766,187.724,187.882,188,188.242,188.64,189.883,190.59,191.798,192.928,194.295,195.395,196.433,197.131,198.129,199.021,199.88,200.773,201.658,202.384,203.68,204.982,206.45,207.638,209.208,210.412,212.036,213.534,216.095,217.701,218.818,219.855,221.008,222.085,223.093,224.051,224.993,225.911,226.834,227.735,228.608,229.446,230.25,231.021,231.759,232.466,233.141,233.789
Belgium,NA,BE08,NA,NA,NA,NA,NA,257.168,257.319,257.176,257.232,257.104,256.465,256.068,255.376,254.863,254.193,253.589,253.017,253.413,252.944,253.019,253.002,253.277,253.153,252.872,252.054,251.534,250.827,250.055,249.334,248.431,248.096,248.107,248.327,248.258,248.768,249.143,249.692,249.94,251.15,253.751,254.871,256.278,257.971,258.921,260.047,261.239,262.354,263.362,264.397,265.456,266.482,267.471,268.43,269.353,270.237,271.085,271.899,272.678,273.425
