"CountryName","Region SUM","Metropolitan SUM","Core city SUM","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Bolivia","R068",NA,NA,184.443,191.102,197.924,204.872,211.918,219.065,226.343,233.805,241.485,249.375,257.446,265.688,274.089,282.623,291.269,299.976,308.661,317.233,325.623,333.79,341.726,349.437,356.942,364.255,371.388,378.242,384.708,390.756,396.381,401.607,406.505,411.18,415.762,420.365,425.062,429.902,434.732,439.783,445.09,450.683,456.445,462.398,468.528,474.809,481.215,487.745,494.393,501.156,508.028,515.002,522.061,529.184,536.342,543.513
"Bolivia","R069",NA,NA,386.393,393.797,401.127,408.321,415.336,422.191,428.964,435.767,442.678,449.691,456.766,463.905,471.105,478.346,485.617,492.863,499.881,506.49,512.662,518.422,523.854,529.059,534.162,539.279,544.523,549.849,555.094,560.149,564.936,569.413,573.596,577.547,581.354,585.076,588.712,592.222,596.19,600.633,605.657,611.375,617.527,624.098,631.063,638.38,645.984,653.857,661.983,670.346,678.925,687.705,696.655,705.74,714.915,724.146
"Bolivia","R070",NA,NA,786.589,811.532,836.806,862.285,887.878,913.625,939.691,966.333,993.737,1021.912,1050.789,1080.392,1110.734,1141.787,1173.543,1205.888,1238.547,1271.188,1303.564,1335.551,1367.158,1398.436,1429.501,1460.435,1491.317,1521.963,1552.066,1581.4,1609.829,1637.315,1664.001,1690.167,1716.193,1742.389,1768.891,1795.736,1822.668,1849.955,1877.636,1905.77,1934.279,1963.181,1992.429,2021.977,2051.786,2081.86,2112.205,2142.839,2173.761,2204.96,2236.387,2267.96,2299.576,2331.15
"Bolivia","R071",NA,NA,1580.874,1613.115,1644.844,1675.875,1706.11,1735.709,1765.078,1794.776,1825.225,1856.509,1888.586,1921.588,1955.633,1990.779,2027.126,2064.605,2102.993,2141.84,2180.669,2219.213,2257.412,2295.265,2332.862,2370.227,2407.361,2444.28,2480.833,2516.565,2551.161,2584.453,2616.551,2647.761,2678.538,2709.204,2739.803,2770.214,2801.778,2834.548,2868.793,2904.827,2942.087,2980.529,3020.075,3060.601,3101.946,3144.073,3186.957,3230.581,3274.903,3319.878,3365.405,3411.337,3457.495,3503.737
"Bolivia","R072",NA,NA,331.933,335.027,337.871,340.442,342.739,344.813,346.761,348.709,350.748,352.906,355.183,357.615,360.235,363.063,366.127,369.427,372.696,375.73,378.613,381.475,384.489,387.844,391.749,396.413,402.05,408.781,416.475,424.949,434.033,443.572,453.442,463.543,473.786,484.05,494.145,503.839,514.095,524.177,534.058,543.772,553.532,563.228,572.866,582.462,592.037,601.585,611.122,620.666,630.226,639.804,649.394,658.978,668.533,678.038
"Bolivia","R073",NA,NA,36.83,37.136,37.386,37.585,37.741,37.868,37.987,38.119,38.284,38.493,38.755,39.085,39.496,40.001,40.615,41.353,42.177,43.055,44.014,45.086,46.311,47.737,49.418,51.418,53.81,56.688,60.094,64.025,68.478,73.446,78.917,84.872,91.281,98.089,105.205,112.502,120.183,127.682,134.811,141.415,147.845,153.984,159.815,165.361,170.679,175.765,180.639,185.326,189.849,194.222,198.458,202.565,206.55,210.416
"Bolivia","R074",NA,NA,697.556,699.251,700.336,700.79,700.63,699.982,699.064,698.139,697.403,696.914,696.68,696.776,697.268,698.2,699.629,701.555,703.562,705.308,706.894,708.5,710.378,712.802,716.078,720.498,726.355,733.842,742.764,752.782,763.594,774.927,786.578,798.387,810.224,821.903,833.14,843.584,855.143,866.796,878.62,890.77,903.298,916.049,929.024,942.214,955.596,969.145,982.867,996.766,1010.837,1025.067,1039.431,1053.889,1068.389,1082.89
"Bolivia","R075",NA,NA,786.182,822.349,859.701,898.136,937.588,978.123,1019.949,1063.382,1108.682,1155.916,1205.067,1256.223,1309.462,1364.817,1422.347,1481.979,1543.977,1608.319,1674.382,1741.623,1809.591,1877.822,1945.869,2013.176,2079.11,2143.093,2204.989,2264.652,2322.101,2377.54,2431.479,2484.67,2538.065,2592.559,2648.836,2707.48,2764.204,2820.626,2876.403,2931.153,2985.385,3039.308,3092.84,3145.97,3198.801,3251.413,3303.869,3356.262,3408.659,3461.09,3513.521,3565.866,3617.999,3669.82
"Bolivia","R076",NA,NA,204.374,210.964,217.63,224.344,231.085,237.87,244.746,251.787,259.048,266.539,274.25,282.198,290.395,298.846,307.561,316.522,325.71,335.067,344.504,353.963,363.413,372.835,382.22,391.548,400.795,409.921,418.888,427.639,436.141,444.389,452.428,460.34,468.238,476.214,484.315,492.563,500.768,509.019,517.308,525.633,534.011,542.449,550.936,559.463,568.027,576.633,585.285,593.992,602.757,611.579,620.447,629.34,638.231,647.099
"Bolivia",NA,"BV05",NA,115.851,118.421,121.036,123.686,126.372,129.114,131.954,134.945,138.129,141.545,145.216,149.17,153.407,158.11,163.27,168.845,174.595,180.451,186.344,192.216,198.028,203.747,209.366,214.853,220.17,225.287,230.171,234.803,239.18,243.312,247.238,251.021,254.738,258.46,262.232,266.087,269.858,273.684,277.58,281.559,285.59,289.69,293.854,298.074,302.341,306.657,311.023,315.441,319.909,324.425,328.982,333.567,338.164,342.76
"Bolivia",NA,"BV03",NA,301.335,310.753,320.266,329.82,339.373,348.93,358.543,368.294,378.242,388.362,398.594,408.919,419.338,429.689,439.923,449.972,459.945,469.458,478.5,487.127,495.467,503.682,511.977,520.565,529.67,539.384,549.569,560.061,570.713,581.401,592.055,602.648,613.18,623.626,633.889,643.836,654.115,664.35,674.58,684.88,695.318,705.841,716.452,727.149,737.928,748.786,759.731,770.773,781.914,793.149,804.462,815.826,827.204,838.565
"Bolivia",NA,"BV02",NA,905.681,924.866,943.893,962.676,981.179,999.524,1017.98,1036.904,1056.567,1077.096,1098.54,1121.024,1144.551,1169.579,1196.167,1224.196,1252.754,1282.33,1312.326,1342.256,1371.748,1400.462,1428.07,1454.226,1478.552,1500.971,1521.704,1540.6,1557.607,1572.779,1586.363,1598.747,1610.432,1621.865,1633.352,1645.13,1656.996,1670.08,1684.687,1701.08,1718.449,1736.934,1756.467,1776.923,1798.13,1820.067,1842.692,1865.962,1889.826,1914.241,1939.13,1964.389,1989.9,2015.569
"Bolivia",NA,"BV04",NA,170.8,172.42,173.913,175.27,176.49,177.598,178.645,179.694,180.792,181.952,183.17,184.462,185.844,187.309,188.859,190.484,192.09,193.5,194.777,196.014,197.329,198.858,200.783,203.255,206.433,210.4,215.031,220.216,225.85,231.831,238.069,244.482,250.991,257.495,263.854,269.899,276.277,282.457,288.419,294.185,299.931,305.585,311.155,316.66,322.122,327.539,332.924,338.29,343.647,348.998,354.34,359.668,364.968,370.232
"Bolivia",NA,"BV07",NA,119.975,120.471,120.892,121.24,121.52,121.761,122.007,122.31,122.71,123.234,123.894,124.71,125.696,126.932,128.415,130.124,131.961,133.757,135.529,137.312,139.158,141.13,143.312,145.778,148.605,151.846,155.452,159.357,163.498,167.812,172.252,176.778,181.358,185.948,190.483,194.881,199.425,203.847,208.131,212.282,216.408,220.475,224.485,228.45,232.383,236.286,240.166,244.035,247.896,251.753,255.606,259.447,263.269,267.066
"Bolivia",NA,"BV01",NA,438.173,459.025,480.707,503.197,526.493,550.68,575.933,602.495,630.572,660.328,691.873,725.363,760.849,798.903,839.629,882.974,928.403,976.478,1026.594,1078.136,1130.497,1183.006,1234.989,1285.617,1333.968,1380.001,1424.321,1466.886,1507.776,1547.194,1585.554,1623.433,1661.546,1700.572,1741.053,1783.467,1824.304,1864.782,1904.583,1943.353,1981.575,2019.403,2056.777,2093.705,2130.287,2166.588,2202.663,2238.584,2274.412,2310.176,2345.862,2381.421,2416.778,2451.871
"Bolivia",NA,"BV06",NA,72.253,74.671,77.135,79.637,82.174,84.756,87.404,90.152,93.023,96.032,99.183,102.489,105.96,109.637,113.513,117.57,121.816,126.116,130.443,134.785,139.149,143.547,148.005,152.55,157.21,161.945,166.684,171.404,176.091,180.738,185.36,189.986,194.658,199.411,204.262,209.217,214.087,218.882,223.568,228.119,232.614,237.052,241.433,245.759,250.045,254.297,258.521,262.727,266.923,271.112,275.292,279.457,283.6,287.711
"Bolivia",NA,NA,"Sucre",115.851,118.421,121.036,123.686,126.372,129.114,131.954,134.945,138.129,141.545,145.216,149.17,153.407,158.11,163.27,168.845,174.595,180.451,186.344,192.216,198.028,203.747,209.366,214.853,220.17,225.287,230.171,234.803,239.18,243.312,247.238,251.021,254.738,258.46,262.232,266.087,269.858,273.684,277.58,281.559,285.59,289.69,293.854,298.074,302.341,306.657,311.023,315.441,319.909,324.425,328.982,333.567,338.164,342.76
"Bolivia",NA,NA,"Cochabamba",301.335,310.753,320.266,329.82,339.373,348.93,358.543,368.294,378.242,388.362,398.594,408.919,419.338,429.689,439.923,449.972,459.945,469.458,478.5,487.127,495.467,503.682,511.977,520.565,529.67,539.384,549.569,560.061,570.713,581.401,592.055,602.648,613.18,623.626,633.889,643.836,654.115,664.35,674.58,684.88,695.318,705.841,716.452,727.149,737.928,748.786,759.731,770.773,781.914,793.149,804.462,815.826,827.204,838.565
"Bolivia",NA,NA,"Quillacollo",35.885,37.19,38.546,39.955,41.421,42.953,44.574,46.307,48.175,50.206,52.422,54.849,57.493,60.481,63.829,67.535,71.471,75.655,80.031,84.544,89.134,93.734,98.26,102.63,106.755,110.59,114.179,117.522,120.631,123.529,126.262,128.887,131.48,134.111,136.846,139.748,142.445,145.131,147.799,150.432,153.032,155.629,158.218,160.798,163.371,165.943,168.517,171.097,173.685,176.281,178.885,181.491,184.091,186.681
"Bolivia",NA,NA,"Sacaba",52.679,54.445,56.255,58.102,59.985,61.911,63.898,65.968,68.143,70.434,72.848,75.393,78.082,80.955,84.008,87.226,90.613,94.028,97.467,100.941,104.469,108.081,111.842,115.79,119.964,124.384,128.989,133.75,138.641,143.64,148.735,153.928,159.226,164.632,170.13,175.692,181.228,186.597,191.744,196.625,201.393,206.03,210.534,214.921,219.217,223.427,227.566,231.647,235.68,239.674,243.63,247.548,251.421,255.246
"Bolivia",NA,NA,"El Alto",365.22,373.197,381.156,389.07,396.934,404.807,412.809,421.101,429.809,439.006,448.737,459.084,470.082,481.959,494.795,508.604,523.072,538.469,554.673,571.584,589.122,607.189,626.155,645.804,665.856,686.128,705.947,725.205,743.834,761.819,779.241,796.256,813.089,829.95,846.988,864.324,881.005,897.443,913.63,929.563,945.366,961.119,976.819,992.476,1008.11,1023.75,1039.414,1055.129,1070.909,1086.759,1102.666,1118.596,1134.506,1150.36
"Bolivia",NA,NA,"La Paz",540.461,551.669,562.737,573.606,584.245,594.717,605.17,615.803,626.758,638.09,649.803,661.941,674.47,687.62,701.371,715.592,729.681,743.861,757.653,770.672,782.626,793.273,801.915,808.422,812.696,814.842,815.756,815.396,813.774,810.96,807.122,802.491,797.343,791.915,786.365,780.806,775.99,772.637,771.057,771.516,773.083,775.816,779.647,784.447,790.019,796.318,803.278,810.833,818.917,827.482,836.464,845.793,855.394,865.209
"Bolivia",NA,NA,"Oruro",170.8,172.42,173.913,175.27,176.49,177.598,178.645,179.694,180.792,181.952,183.17,184.462,185.844,187.309,188.859,190.484,192.09,193.5,194.777,196.014,197.329,198.858,200.783,203.255,206.433,210.4,215.031,220.216,225.85,231.831,238.069,244.482,250.991,257.495,263.854,269.899,276.277,282.457,288.419,294.185,299.931,305.585,311.155,316.66,322.122,327.539,332.924,338.29,343.647,348.998,354.34,359.668,364.968,370.232
"Bolivia",NA,NA,"Potosi",119.975,120.471,120.892,121.24,121.52,121.761,122.007,122.31,122.71,123.234,123.894,124.71,125.696,126.932,128.415,130.124,131.961,133.757,135.529,137.312,139.158,141.13,143.312,145.778,148.605,151.846,155.452,159.357,163.498,167.812,172.252,176.778,181.358,185.948,190.483,194.881,199.425,203.847,208.131,212.282,216.408,220.475,224.485,228.45,232.383,236.286,240.166,244.035,247.896,251.753,255.606,259.447,263.269,267.066
"Bolivia",NA,NA,"Santa Cruz",384.216,402.491,421.491,441.196,461.605,482.79,504.905,528.162,552.739,578.778,606.376,635.665,666.68,699.932,735.503,773.331,812.9,854.719,898.214,942.801,987.9,1032.878,1076.989,1119.464,1159.46,1196.724,1231.75,1264.504,1295.06,1323.612,1350.543,1376.389,1401.818,1427.485,1453.952,1481.749,1507.805,1533.827,1559.8,1585.647,1611.317,1637.077,1662.895,1688.745,1714.634,1740.615,1766.709,1792.946,1819.342,1845.905,1872.602,1899.373,1926.14,1952.837
"Bolivia",NA,NA,"Tarija",72.253,74.671,77.135,79.637,82.174,84.756,87.404,90.152,93.023,96.032,99.183,102.489,105.96,109.637,113.513,117.57,121.816,126.116,130.443,134.785,139.149,143.547,148.005,152.55,157.21,161.945,166.684,171.404,176.091,180.738,185.36,189.986,194.658,199.411,204.262,209.217,214.087,218.882,223.568,228.119,232.614,237.052,241.433,245.759,250.045,254.297,258.521,262.727,266.923,271.112,275.292,279.457,283.6,287.711
